Index,sites,ID,lats,longs
1,Malawi,af1_1,-16.166667,34.75
2,Congo,af1_2,-4.316667,15.316667
3,Ghana (Kassena),af2,10.884722,-1.090278
4,Nigeria,af3_1,8.5,4.55
5,Senegal,af3_2,14.783333,-16.916667
6,Mali,af3_3,12.65,-8
7,Gambia,af4_1,13.466667,-16.6
8,Guinea,af4_2,7.75,-8.816667
9,Ghana (Kintampo),af4_3,8.052222,-1.734722
10,Cambodia (Pursat),as5_1,12.533333,103.916667
11,Cambodia (Pailin),as5_2,12.850556,102.609444
12,Thailand (Sisakhet),as5_3,15.12,104.321667
13,Vietnam,as6_1,11.769167,107.237222
14,Laos,as6_2,14.8,106.833
15,Cambodia (Ratanakiri),as6_3,13.733333,107
16,Cambodia (Preah Vihear),as6_4,14.39,104.68
17,Bangladesh,as7_1,21.458333,92.1
18,Myanmar,as7_2,18.25,96
19,Thailand (Mae Sot),as7_3,16.713056,98.574722
20,Thailand (Ranong),as7_4,9.966944,98.635556
21,Thailand,pv1,13.75,100.483333
22,Indonesia,pv2_1,-6.175,106.828333
23,Malaysia,pv2_2,3.133333,101.683333
24,Papua New Guinea,pv2_3,-9.5,147.116667
25,Cambodia,pv3_1,11.55,104.916667
26,Vietnam,pv3_2,16.166667,107.833333
27,Laos,pv3_3,17.966667,102.6
28,Myanmar (Burma),pv4_1,19.75,96.1
29,China,pv4_2,39.916667,116.383333
30,Madagascar,pv4_3,-18.916667,47.516667
31,Sri Lanka,pv4_4,6.933333,79.866667
32,Brazil,pv4_5,-15.79,-47.88
33,India,pv4_6,28.613333,77.208333
34,Lab,lab,51.5,-0.116667
