No,Group,URL
1,pfAfricaGroup1,https://ndownloader.figshare.com/files/8916217?private_link=f09830a270360a4fe4a5
2,pfAfricaGroup2,https://ndownloader.figshare.com/files/8916220?private_link=f09830a270360a4fe4a5
3,pfAfricaGroup3,https://ndownloader.figshare.com/files/8916223?private_link=f09830a270360a4fe4a5
4,pfAfricaGroup4,https://ndownloader.figshare.com/files/8916226?private_link=f09830a270360a4fe4a5
5,pfAsiaGroup1,https://ndownloader.figshare.com/files/8916229?private_link=f09830a270360a4fe4a5
6,pfAsiaGroup2,https://ndownloader.figshare.com/files/8916232?private_link=f09830a270360a4fe4a5
7,pfAsiaGroup3,https://ndownloader.figshare.com/files/8916235?private_link=f09830a270360a4fe4a5
8,pvGroup1,https://ndownloader.figshare.com/files/8947990?private_link=f09830a270360a4fe4a5
9,pvGroup2,https://ndownloader.figshare.com/files/8947993?private_link=f09830a270360a4fe4a5
10,pvGroup3,https://ndownloader.figshare.com/files/8947996?private_link=f09830a270360a4fe4a5
11,pvGroup4,https://ndownloader.figshare.com/files/8947999?private_link=f09830a270360a4fe4a5
12,lab,https://ndownloader.figshare.com/files/8948002?private_link=f09830a270360a4fe4a5
